reviewDescription,ratingScore
first i always feel good hold masterpiece look premium branding everything make feel premium however despite look finish transition android apple smooth may constantly lack certain feature make life easy using vivo lite still  putting feature missed forwarding anything whatsapp forwarding anything whatsapp i take bit step compared offered android make entire process slow android user app switcher apple could easily made app switcher easy light swipe instead made long pressed swipe man feature swipe make easy launch andorid dialer always missed every android basic feature search contact directly  dialer dialer used dialing number suggest similar contact contact last dial really bad dial number directly use dialer dial someone recent call log shift dial someone contact shift man done one button dialer android user miss badly sending multiple file whatsapp want add file directly whatsapp twice android one simple start selecting whatspp select many file want send single click sending multiple file go gallery folder select file first share whatsapp swipe based shifting chat status call android whatsapp switch call chat status swiping press button contact viewing contact list sorting method still mind man make easy example one contact first name middle name last name one thing start alphabet shown top list apple pls adopt one method least allow u customise many apps android much refined version apple use samsung pay samsung pay one best app making upi card payment swipe home screen samsung  series app open payment miss badly lack dual messenger facility cannot use two different whatsapp number  supported android right nowthese issue face right apart  good sound loud clear feel premium hand touch good face id work like charm gesture control customisation really good customise lot thing,3
i gb surpassed expectation every aspect setting new standard smart excellence sleek design powerful performance innovative feature device truly redefined mean premium smartdesign build qualitythe i design masterpiece craftsmanship featuring sleek aluminum frame stunning ceramic shield front cover device feel incredibly premium hand compact form factor exquisite attention detail ip water dust resistance provide added durability peace mind making perfect everyday usedisplaythe super retina xdr display i nothing short breathtaking inch oled screen delivers vibrant color deep black excellent brightness level ensuring immersive viewing experience everything streaming video browsing web true tone technology adapts display ambient lighting condition providing comfortable viewing experience time,3
using apple i blue six month fantastic takedesignthe blue color look really cool  feel premium sleek comfortable holdscreenthe display sharp bright watching video scrolling photo look amazingspeedthis  super fast issue lag even playing game multitaskingcamerathe camera awesome photo come clear vibrant work great low light video recording topnotch batterythe battery life solid get full day easily even heavy use fast charging nice plussoftwareios smooth easy use love well work apple devicesoverall i great  really happy definitely recommend,3
first i always feel good hold masterpiece look premium branding everything make feel premium however despite look finish transition android apple smooth may constantly lack certain feature make life easy using samsung lite still  putting feature missed forwarding anything whatsapp forwarding anything whatsapp i take bit step compared offered android make entire process slow android user app switcher apple could easily made app switcher easy light swipe instead made long pressed swipe man feature swipe make easy launch andorid dialer always missed every android basic feature search contact directly  dialer dialer used dialing number suggest similar contact contact last dial really bad dial number directly use dialer dial someone recent call log shift dial someone contact shift man done one button dialer android user miss badly sending multiple file whatsapp want add file directly whatsapp twice android one simple start selecting whatspp select many file want send single click sending multiple file go gallery folder select file first share whatsapp swipe based shifting chat status call android whatsapp switch call chat status swiping press button contact viewing contact list sorting method still mind man make easy example one contact first name middle name last name one thing start alphabet shown top list apple pls adopt one method least allow u customise many apps android much refined version apple use samsung pay samsung pay one best app making upi card payment swipe home screen samsung  series app open payment miss badly lack dual messenger facility cannot use two different whatsapp number  supported android right nowthese issue face right apart  good sound loud clear feel premium hand touch good face id work like charm gesture control customization really good customize lot thing,2
purchasing i genuinely impressed performance feature detailed review based experience design build qualitythe i feel incredibly premium hand flat edge matte finish back give sleek modern look build quality topnotch ceramic shield front adding layer durability give confidence longevity displaythe inch super retina xdr display absolutely stunning color vibrant black deep making everything photo video look fantastic brightness level impressive even direct sunlight screen remains perfectly readable slightly smaller notch nice touch offering bit screen space performancethe bionic chip powerhouse i handle everything throw ease multitasking gaming apps open almost instantly lag whatsoever clear  built speed efficiency camerathe camera system i standout feature mp wide ultrawide lens capture stunning photo great detail color accuracy lowlight performance particularly impressive thanks sensorshift optical image stabilization new photographic style cinematic mode fantastic addition allowing creative freedom professionallooking video battery lifebattery life pleasant surprise easily get full day use single charge even heavy usage efficiency bionic chip slightly larger battery make noticeable difference compared previous model softwareios smooth intuitive new feature like focus mode enhanced facetime capability improved privacy control make user experience even better everything feel wellintegrated easy use overall impressionthe i exceeded expectation offer perfect balance performance design innovative feature whether stunning display powerful camera system impressive battery life every aspect  feel wellthoughtout polished highly recommend anyone looking premium smart experience,2
good product,2
stunning display super retina xdr display vibrant sharp making everything photo video look fantasticperformance powered bionic chip i handle multitasking gaming demanding apps ease,2
satisfied product schedule,2
loving,2
well i,3
product defective hr getting product found defectiveis amazon buying defeective product maple selling defective product amazon,1
bought  bcoz lot money showoff,1
 body strong,1
apple i gb pink offer combination elegant design solid performance advanced feature detailed review design buildthe i pink sport sleek refined design flat edge ceramic shield front cover aerospacegrade aluminum edge pink color option soft subtle making attractive choice prefer pastel look device feel premium hand compact size make comfortable use onehanded displaythe inch super retina xdr display vibrant sharp providing excellent color accuracy contrast whether streaming video browsing photo playing game display offer rich visual experience smaller notch compared previous model also allows slightly screen real estate performancepowered bionic chip i delivers fast efficient performance whether multitasking gaming using resourceintensive apps device handle everything smoothly gb storage variant provides ample space apps medium file making good option user require storage camerathe dualcamera system feature mp wide mp ultrawide lens camera perform exceptionally well various lighting condition producing detailed vibrant photo improved lowlight performance night mode make possible capture clear image even dim setting new photographic style feature allows customization tone color photo without compromising overall quality battery lifethe i offer improved battery life compared predecessor moderate use device easily last full day single charge introduction smart data mode switch g lte depending usage also help conserving battery softwarerunning io i brings range new feature enhancement focus mode redesigned notification improved facetime capability user interface smooth intuitive making easy navigate apps setting additional feature g connectivity offer faster download upload speed improving overall browsing streaming experience magsafe compatibility device support magsafe accessory allowing easy attachment charger wallet accessory water dust resistance i rated ip meaning withstand submerged water meter minute conclusionthe i gb pink solid choice looking stylish powerful smart combine toptier performance beautiful display excellent camera capability long battery life may massive upgrade user i still offer enough enhancement worthy investment using older model wanting latest feature,3
 awesome well packed totally freshed transparent delivery must order pocket allows heartexclamation,3
camera obviously amazing apart taking picture battery backup amazing inbulit imessage ultimate feature emojis way much cute,3
maja nai aaya sach bolu pichhla wala hi haikuch naya waya karte nai hai yeh apple waale bilkul maja nai aaya,1
outstanding  camera delivered one day amazing experience amazon shifted android io,3
hi want switch android i someone please shopping thank god always bless,3
best  ever using i upgrade thanks amazon thank lot,3
awesome performance camera beast,3
amazing  great feature user friendly switching android think,3
really really awesome model handsthe display great variation comparable android mobile,3
best  i series,3
playing camera video recording  getting heated,3
best smart  used,3
first  amazing,3
hang little ui cleaner camera bonkers good durability  dropped normal case multiple time nothing happened,3
great happy feel part apple android excellent  superb picture quality nice battery life finger sensor amazing mobile far,3
thought upgrading would hassle could transfer data easily never even connect pc download app,3
always android user boy impressed i smoothness  offer unmatchable,3
wifi issue month wifi remains connected cannot open website switching mobile network thing work well,1
present batterylife excellent morning evening average use consumes battery,3
highly responsive processor good camera crisp display,3
excellent product,3
battery fabulous camera great,3
 great problem faced incorrect serial number invoice contacting customer service month still sorted would recommend everyone check serial number invoice actual product,1
awesome,3
battery drain fast priced r,2
superb mobile,3
dent edge checking trying replace product unable try many way replace please buy fom online plateform expensive ,1
perfect i lover,3
build quality far better competitor market one best smarts k switched mix miss htz refresh rate  apart everything work perfectly especially camera,2
nice attractive  servce,2
go iti using  month working charm since bought itits still feel like new handling used day really io polished observing lag hang state ,3
thing good visible midnight black totally different find could better totally black z black,2
different i useless o feature look like matchbox cigarette case use want miss many great feature android,3
user friendly,3
perfect business  excellent camera quality yo love photography right choice,3
fantastic word describe experience coming year android user including pixel,3
colour delivery nahi kiya aur speaker bhi kharab tha chal hi nahi raha tha,1
i like wow updated i se feeling like wonderfulthe  camera multitasking easy thanks amazon secure packaging,2
need explain good apple product earlier i se worked well exchanged i se i  wonder everything flawless speed performance faceid speed perfect,3
received refurbished item summer saleapart comment i awesome  value money price,3
absolutely original received brand new  go,3
 disappoint aspectwhether battery lifeperformance camera might miss hz screen perhaps telephoto lens thing concern actually reason buy best  get kperiod,2
exchange product working,3
loved price best sale,3
nice  nice performance good  mobile comparison better,3
product good thing amazon delivery poor,3
amazing  entire experience buttery smooth although battery slightly let cannot complain much come long way since older is manages give day battery life hour screen time decent depending upon want use  use mine primarily work emailing googling watching video camera actually great especially video quality wow switch android io first time although restriction term customisation otherwise  great total value money got k,3
using i nearly year finally decided switch i like nearly six month using  could really find real drawback evercamera best exaggerating better entry level dslrs performance battery life sound display impressedthe drawback could see  slightly heating playing game chargingbut still worth buy,3
switched oneplus i reason switched battery life oneplus deteriorated rapidly oneplus hardly cared explain also suspected oneplus deliberately created bug led sudden drop battery life wanted get android  could find even one decent  heating issue oneplus device also suffered screenburnhaving switched battery life sorted  heating issue is lack basic feature display date time status bar rounded edge  create problem apps option bottom screen properly displayed amazon app allow purchase kindle book io device typing problem screen smaller compared oneplus deviceoverall neither happy sad purchase though must confess price  seems exorbitant vi vi value delivered,2
worthy money,3
using almot month  running smooth new one network issue  although overall buy itmg,2
great app,3
good  according budget,3
better premium  cost like si would recommend wantperformance camera video display sound,3
first time i user confused buy i though price difference manageableso review conclusion went i one month usage say made right choice work well camera battery display everything perfectafter i moderate user play heavy game devicehence normal usage give approx day battery back hope help choose right ,3
best product camera awesomebought sale best price cost emi offercharging working best use,3
nice  use,3
amazing camera qualitydeep detail camera,3
liked  sound quality insane fast charging size  also preety good display best tested performance also smooth fast light weight  recommend buy instead i,3
good quality feature thumbsup,3
want hear iif reading reviewit mean already done enough research buy itso congratulation new i partypopper,2
le year facing overnight battery draining issue give example charged  yesterday pm today morning battery got drained upto even touched  tried many thing using low power mode stopped background application refreshing even turned wifimobile data location costliest  bought last year serious battery issue,1
need write review i people still going buy anywaylittle bit disappointed macro lens otherwise criticize apple,2
best camera cinematic mode wideangle good night vision contains noise battery backup good,3
thought mobile would turn big turned small heart enjoy,2
apple full value money,3
android user stick best available android budget overhyped device performs poorly hygiene parameter eg function go back poor precision touch limited battery life dy much day end name also transferring data android issue,1
beautiful weight le easy carryso nice,3
want use  whole day work,3
packaging questionable  great,3
moving android io easy however settling slowly initially facing lot issue expecting camera particularly photo section battery rest time tell turn would needed,2
switch android after month use give genuine review good performance,3
save money buy  regret later smooth experience,3
everything device perfect,3
much first time using i experience good ui seamless lag free yes sometimes noticed app crashing getting refresh background camera quality superb especially videography night photo ok still see grain taking photo low light situation,2
apple never disappoints brand value great experience using product thanks amazon sameday delivery,3
 video calling poor noisy call drop conversation defect arises later return window closed bad experience pensiveface,1
must say exceeded expectation many way product received genuine camera absolutely lovely capturing moment stunning clarity vividness overall i delivers significant upgrade previous android device although initially skeptical downgrading hz display hz  performance feel far clunky sluggishthe camera system i nothing short impressive produce stunning image offering level detail color accuracyin term performance i truly shine powerful bionic chip ensures smooth multitasking seamless app navigation impressive gaming experience device feel snappy responsive effortlessly handling resourceintensive task appreciate optimized performance come i let u address issue left somewhat disappointedthe packaging considering price tag inr one would expect attention paid packaging unfortunately  arrived flimsy packet clearly subjected challenge longdistance transportation i box damaged luckily  inside unharmed disheartening see carelessness seller appario retail come packaging expensive device hope issue addressed seller ensure better customer experience futuredespite packaging mishap i proven remarkable device looking switch android upgrade older i i definitely worth considering,3
hello guy purchased best price delivered issue found product scratch crack fully new genuine product given amazon checked getting delivery thing working perfectly fine slightlysmilingface day updated i found camera issue camera shaking rear camera guy tried replace product amazon tolds go first i main showroom diagnosis amazon told go apple shop told happening  deny repair product ask denial report firstly go ivenus apple authorised service centre give job sheet denial report refused repair well go mumbai apple bkc service apple bkc main showroom i professional talk fluent english well took product repair took around day repair replace part i replaced camera also replaced battery asked replaced battery told scratch battery need replace battery guy experience shared hope help,2
want include gst detail claim gst input,2
battery quality bad hence last long even though using social medium gaming,2
perfect product awesome battery backup amazing camera day batter backup improved brilliant,2
nice product,3
loved delivery bcz product always best apple,3
value money,2
go feel ver small buying i fee small an compared android  get bigger screen c type charging port better buy i pro get inch display c type charging port also video stable,2
good slightly heating much good worth money,2
using  past daysmy honest reviewprosbattery back good improvedyou could get easily compete day moderate usagescreen quality good comparable super amoled displayconsscreen refresh rate low may hz strain eye scrolling web page apps good price pointeven basic android mobile give acceptable i major concharger given box need purchased additionally also good price pointat least charger branded ear piece given along box packapple improve area,2
good packaging seal box delivery red color look amazing buy exchange offer,2
great product rsusing feel great also social confident anddreamin today world st dream people isoon upgrade pro,3
everything perfect smilingfacewithheart-eyes camera display battery battery call quality look i good deal i,3
first time using i loving totally worth money got k great indian festival sale k reduced exchange including exchange bonus credit card discount,3
first try i long time dream possessing i atleast lifetime finally got fullfilled thanks lot amazon slightlysmilingface slightlysmilingface thumbsup,3
heat fastly battery drop soon,2
good  got good deal amazon personally picked hardly difference two difference felt worth paying additional overall everything well expected i,3
good prompt delivery working fine,3
happy amazon serviceoriginal product delivered,3
really smart,3
i best feature like battery life good display ultra hd  fast charging like hour fully charge  used mobile since last year best value money mobile  price better i,3
 fanatic simple honest reviewas someone used window android  must say i good upgrade however issue  hard core android user face issue fact i built call recording feature case message reply drawer mark read option truecaller absolutely work  premium member truecaller use still get bombarded spam call dual sim one nano sim esim dual tray sim card issue screencastmirroring well short small little thing seems normal one used android basically missing i  great camera great lot feature still learning sound great annoying nudge keep updating apps silently update background without prompt message updated easy use get hang itupdate using  since march month found  starting lag little much little annoying spent much money would expect also even full network bar sometimes struggle get net connection rely wifi time become burden,3
like good display great dual speaker sound quality fast using month never hanged updated io unlike android  bug free le bug long term software security support android  manufacturer give year o support le bug consistent camera would say camera hi fi take consistently good photo apps well optimized even google apps like youtube map gmail etc work better io rather proprietary o widget io android widget decade io took user experience whole new level new boxy design introduced i cool look good network call quality good haptic feedback awesomedislikes dislike due android user decade ugly notch though made dynamic island i let u accept truth still ugly compared hole punch battery life charging speed lack customization cannot place icon wherever feel like screen lack fingerprint scanner face id good fingerprint scanner practical specially pay contactless android user used swipe right edge screen go back i working need reach actual back button app setting app messy installed app would show main page would say android setting app sophisticated lastly price le discount come k inr costlyoverall satisfied switching i android used oneplus year last time switched i i could stay month switched android time io better term consistency user experience,3
faced issue many time someone call mute side button try pick call work touch stop workingend press side button call get disconnected screen reon purchase th aug,1
best smart k real little heating problem charging otherwise worth every penny,3
received  felt like brand newbut saw round spot around camera lense nd day delivery think amazon fool customer,1
received different specification defective charging cable,1
buy expensive product amazon especially apple product buy left mercy apple amazon neither care,1
expected better camera quality price bad selfie blurry,1
i stand testament blend sophisticated design cuttingedge technology apple renowned new iteration i continues push boundary expect smartfirstly design i elegant functional sleek minimalist look aesthetic reflection advanced technology housed within build quality exceptional premium feel notice moment hold,3
front camera working got defective piece,1
 screen got damaged applying little pressure dent crack full screen black green blue took k replace screen authorised service center,3
couple week since get  everything perfect lately got issue heating play game  usage mild still heating stop word paid much still got issue anything suggestion accepted thankiu,2
 expressionlessface ever reading review suggest go ,2
camera quality good proceser actually surpriseing hai na ki nhi hai hai na tu baa,3
